,#,Country (or dependency),Population (2020),Yearly Change,Net Change,Density (P/Km²)
0,1,China,1439323776,0.39,5540090,153
1,2,India,1380004385,0.99,13586631,464
2,3,United States,331002651,0.59,1937734,36
3,4,Indonesia,273523615,1.07,2898047,151
4,5,Pakistan,220892340,2.0,4327022,287
5,6,Brazil,212559417,0.72,1509890,25
6,7,Nigeria,206139589,2.58,5175990,226
7,8,Bangladesh,164689383,1.01,1643222,1265
8,9,Russia,145934462,0.04,62206,9
9,10,Mexico,128932753,1.06,1357224,66
10,11,Japan,126476461,-0.3,-383840,347
11,12,Ethiopia,114963588,2.57,2884858,115
12,13,Philippines,109581078,1.35,1464463,368
13,14,Egypt,102334404,1.94,1946331,103
14,15,Vietnam,97338579,0.91,876473,314
15,16,DR Congo,89561403,3.19,2770836,40
16,17,Turkey,84339067,1.09,909452,110
17,18,Iran,83992949,1.3,1079043,52
18,19,Germany,83783942,0.32,266897,240
19,20,Thailand,69799978,0.25,174396,137
20,21,United Kingdom,67886011,0.53,355839,281
21,22,France,65273511,0.22,143783,119
22,23,Italy,60461826,-0.15,-88249,206
23,24,Tanzania,59734218,2.98,1728755,67
24,25,South Africa,59308690,1.28,750420,49
25,26,Myanmar,54409800,0.67,364380,83
26,27,Kenya,53771296,2.28,1197323,94
27,28,South Korea,51269185,0.09,43877,527
28,29,Colombia,50882891,1.08,543448,46
29,30,Spain,46754778,0.04,18002,94
30,31,Uganda,45741007,3.32,1471413,229
31,32,Argentina,45195774,0.93,415097,17
32,33,Algeria,43851044,1.85,797990,18
33,34,Sudan,43849260,2.42,1036022,25
34,35,Ukraine,43733762,-0.59,-259876,75
35,36,Iraq,40222493,2.32,912710,93
36,37,Afghanistan,38928346,2.33,886592,60
37,38,Poland,37846611,-0.11,-41157,124
38,39,Canada,37742154,0.89,331107,4
39,40,Morocco,36910560,1.2,438791,83
40,41,Saudi Arabia,34813871,1.59,545343,16
41,42,Uzbekistan,33469203,1.48,487487,79
42,43,Peru,32971854,1.42,461401,26
43,44,Angola,32866272,3.27,1040977,26
44,45,Malaysia,32365999,1.3,416222,99
45,46,Mozambique,31255435,2.93,889399,40
46,47,Ghana,31072940,2.15,655084,137
47,48,Yemen,29825964,2.28,664042,56
48,49,Nepal,29136808,1.85,528098,203
49,50,Venezuela,28435940,-0.28,-79889,32
50,51,Madagascar,27691018,2.68,721711,48
51,52,Cameroon,26545863,2.59,669483,56
52,53,Côte d'Ivoire,26378274,2.57,661730,83
53,54,North Korea,25778816,0.44,112655,214
